Date,Open,High,Low,Close,Volume,Adj Close
2013-09-06,156.98,157.71,153.42,156.66,2464000,156.66
2013-09-05,155.99,158.05,155.57,156.17,2443900,156.17
2013-09-04,154.76,157.25,154.35,155.74,2194200,155.74
2013-09-03,154.48,156.04,153.52,154.76,2464800,154.76
2013-08-30,153.77,153.98,151.33,152.13,2234000,152.13
2013-08-29,152.37,154.68,152.09,153.63,2133000,153.63
2013-08-28,153.00,154.15,151.45,152.97,2343200,152.97
2013-08-27,155.72,156.53,152.93,153.23,3672000,152.73
2013-08-26,158.41,160.70,157.75,157.90,1885200,157.38
2013-08-23,159.59,159.79,158.00,158.65,1495800,158.13
2013-08-22,157.81,159.66,157.20,159.41,2302700,158.89
2013-08-21,158.78,159.23,156.51,157.11,3053800,156.60
2013-08-20,158.72,160.03,157.78,159.56,2288700,159.04
2013-08-19,160.17,160.79,158.53,158.63,2228400,158.11
2013-08-16,160.28,162.29,160.03,160.66,2024300,160.14
2013-08-15,161.91,161.97,160.07,160.75,2206900,160.23
2013-08-14,163.85,164.80,162.93,163.34,1667400,162.81
2013-08-13,161.99,164.55,160.95,163.71,2309600,163.18
2013-08-12,161.73,162.38,160.55,161.69,1982000,161.16
2013-08-09,162.40,164.10,162.02,162.13,2012000,161.60
2013-08-08,164.75,166.43,162.83,162.84,2818400,162.31
2013-08-07,164.00,164.23,162.05,163.45,2131000,162.92
2013-08-06,168.07,168.28,164.47,164.78,3598500,164.24
2013-08-05,167.28,169.69,166.44,168.32,2618400,167.77
2013-08-02,166.83,167.90,166.46,167.62,1866700,167.07
2013-08-01,165.74,167.90,164.88,167.49,3251900,166.94
2013-07-31,162.53,165.97,162.43,164.03,3700300,163.49
2013-07-30,163.49,164.01,162.33,162.43,2553300,161.90
2013-07-29,164.63,164.83,162.02,163.17,2823600,162.64
2013-07-26,165.05,165.65,164.27,165.26,2372200,164.72
2013-07-25,164.28,166.00,163.69,165.91,2236200,165.37
2013-07-24,166.75,166.89,164.44,165.04,2548100,164.50
2013-07-23,166.50,167.41,165.48,166.26,2545400,165.72
2013-07-22,163.95,166.33,163.88,166.25,2741100,165.71
2013-07-19,163.75,164.85,162.58,164.36,3329700,163.82
2013-07-18,161.58,164.58,161.50,164.06,3462700,163.52
2013-07-17,159.84,161.99,159.50,161.50,3715000,160.97
2013-07-16,163.92,164.30,159.43,160.24,5972700,159.72
2013-07-15,162.80,163.39,161.16,163.00,4129900,162.47
2013-07-12,158.62,160.28,158.55,160.11,2844600,159.59
2013-07-11,158.50,159.74,156.11,157.71,2965700,157.20
2013-07-10,156.57,157.62,154.67,155.83,2430100,155.32
2013-07-09,154.99,157.44,153.17,156.94,3127100,156.43
2013-07-08,154.58,154.80,152.88,153.81,2699100,153.31
2013-07-05,152.30,153.29,151.50,153.24,2243700,152.74
2013-07-03,149.62,151.42,149.28,150.43,1267700,149.94
2013-07-02,151.16,153.19,149.90,150.92,3091600,150.43
2013-07-01,152.78,154.10,151.70,151.75,2496100,151.25
2013-06-28,152.69,152.77,151.00,151.25,3011300,150.76
2013-06-27,153.03,154.99,152.61,153.51,2654900,153.01
2013-06-26,154.48,154.56,150.75,151.66,3580400,151.17
2013-06-25,152.45,154.31,151.55,153.06,3274600,152.56
2013-06-24,151.99,152.60,148.71,150.78,4013200,150.29
2013-06-21,157.00,157.26,152.30,154.25,5390200,153.75
2013-06-20,159.15,159.99,154.84,155.41,6488600,154.90
2013-06-19,164.16,164.93,161.51,161.56,3557100,161.03
2013-06-18,164.15,164.87,163.05,164.15,2060700,163.61
2013-06-17,164.08,165.67,162.90,164.11,2628300,163.57
2013-06-14,165.74,166.11,162.91,162.92,2970600,162.39
2013-06-13,161.20,166.39,161.07,165.82,3768500,165.28
2013-06-12,164.98,164.98,161.07,161.86,3243300,161.33
2013-06-11,165.35,166.40,163.19,163.31,3858100,162.78
2013-06-10,166.70,168.20,165.29,167.49,3914200,166.94
2013-06-07,160.97,166.17,160.59,166.01,5690300,165.47
2013-06-06,158.30,159.79,156.34,159.68,3243900,159.16
2013-06-05,161.43,162.89,157.55,158.30,4138300,157.78
2013-06-04,163.46,165.74,160.50,161.68,3977300,161.15
2013-06-03,161.56,163.74,159.79,163.56,4557300,163.03
2013-05-31,163.95,165.83,162.07,162.08,4404800,161.55
2013-05-30,162.66,165.45,161.00,164.35,4336200,163.81
2013-05-29,159.74,164.13,159.41,162.87,4969100,162.34
2013-05-28,160.92,162.68,159.91,160.70,4471200,160.18
2013-05-24,155.57,158.92,155.29,158.72,3317100,157.70
2013-05-23,156.36,158.89,154.62,157.41,5619800,156.40
2013-05-22,160.61,164.47,158.53,159.34,6176200,158.32
2013-05-21,158.67,161.74,158.53,160.73,4077900,159.70
2013-05-20,157.58,160.49,157.52,158.90,4010100,157.88
2013-05-17,155.41,158.70,155.00,158.18,4177000,157.17
2013-05-16,154.73,157.49,153.96,154.47,3233800,153.48
